╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕mй╬л╪кл░╧к∙╡P,дgжa▓╛┬р┴`н▒┐nендшд╜д╪,│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~дыдщ,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐nендшд╜д╪,л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙д╕,│ц╗∙иCендшд╜д╪,иожь├■зO,иожь▓╛┬р┴`н▒┐nендшд╜д╪,иожь┴`╗∙д╕,│╞╡∙,╜s╕╣
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лOел╣L╖╛и╜│┬д╙╕Ї137л╤1~30╕╣,145.64,жэ,,,1060201,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1051117,171.28,5,2,5,ж│,╡L,6360000,37132,,0.0,0,,RPTOMLLLKHMFFDQ66CA
дЇдW╢m,дgжa,д√╕YоHмq181~210жa╕╣,11441.0,,д@пы╣A╖~░╧,╣Aкке╬жa,1060201,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,4500000,393,,0.0,0,,RPSNMLNLKHMFFDQ66CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лOел╣L╖╛и╜│┬д╙╕Ї137л╤1~30╕╣,115.64,жэ,,,1060201,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1051117,171.22,4,2,4,ж│,╡L,5900000,34459,,0.0,0,,RPOOMLLLKHMFFDQ78CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m░ёид61~90╕╣,99.37,жэ,,,1051201,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050817,174.34,4,2,5,ж│,╡L,6780000,38890,,0.0,0,,RPWNMLNKLHMFFCQ96CA
дjкL┬э,й╨жa(дgжa+л╪кл),╣┼╕q┐ддjкL┬эенкLи╜17╛F▓°╖q╕Ї176л╤1~30╕╣,36.42,жэ,,,1060201,дgжa5л╪кл2иожь0,дн╝h,дн╝h,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0720312,71.73,3,2,2,ж│,╡L,1050000,14636,,0.0,0,,RPSNMLTJLHMFFCQ07CA
кFе█╢m,дgжa,┤Єй│мq┤Єй│дpмq121~150жa╕╣,283.5,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1160000,4092,,0.0,0,,RPPNMLMLKHMFFBQ68CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m║╓╝╓з°л╪░ъ╕ЇдTмq181~210╕╣,61.39,░╙,,,1060101,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одgе[▒j┐j│y,0660429,95.29,3,2,2,ж│,╡L,4580000,48064,,0.0,0,,RPPNMLMLKHMFFCQ78CA
ж╡дlел,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╡дlелжN▓╗дC╡є61~90╕╣,6.74,жэ,,,1060201,дgжa1л╪кл1иожь0,е|╝h,дн╝h,оMй╨(1й╨1╞U1╜├),жэоaе╬,┐√╡м▓V╛одg│y,0940103,22.700000000000003,1,0,1,ж│,╡L,500000,22026,,0.0,0,,RPTNMLKLKHMFFBQ88CA
е┴╢п╢m,дgжa,е┴┐│мq271~300жa╕╣,517.13,ифеL,,,1051201,дgжa8л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,9722834,18802,,0.0,0,иє─│╗∙┴╩,RPPNMLOKLHMFFCQ56EA
дЇдW╢m,дgжa,дд╔▄мq1471~1500жa╕╣,122.73,,╢mз°░╧,дA║╪л╪┐vе╬жa,1051201,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2600000,21185,,0.0,0,зt╝Wл╪й╬е╝╡n░Oл╪клбC,RPRNMLRJLHMFFDQ07EA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m?║╓з°11╛F?║╓61~90╕╣,107.08,жэ,,,1051201,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одg│y,0811007,156.93,5,1,3,ж│,╡L,2000000,12745,,0.0,0,,RPWNMLLJLHMFFCQ76DA
╖╦дf╢m,дgжa,╖╦кFмq571~600жa╕╣,129.78,жэ,,,1060201,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,4029000,31045,,0.0,0,,RPSNMLMJLHMFFCQ56EA
ж╡дlел,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╡дlелдхй·лn╕Ї50л╤22з╦1~30╕╣,63.0,жэ,,,1060101,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0730526,116.2,4,1,1,ж│,╡L,3000000,25818,,0.0,0,,RPPNMLLLKHMFFBQ58CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m║╓╝╓з°░ёид391~420╕╣,78.24,жэ,,,1060201,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одg│y,0821012,167.52,4,2,2,ж│,╡L,4800000,28653,,0.0,0,,RPPNMLNJLHMFFCQ78CA
╖╦дf╢m,дgжa,│╗йWмqдUйWдpмq571~600жa╕╣,918.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1060201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1101600,1200,,0.0,0,,RPQNMLOLKHMFFCQ09CA
╖╦дf╢m,дgжa,дW▒[мqмhдGдpмq61~90жa╕╣,2519.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1060201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2920000,1159,,0.0,0,,RPRNMLOLKHMFFCQ56CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m░ёид61~90╕╣,99.37,жэ,,,1051201,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050817,191.96,4,2,5,ж│,╡L,7010000,36518,,0.0,0,,RPXNMLNKLHMFFCQ07CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m░ёид61~90╕╣,99.37,жэ,,,1051201,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050817,191.96,4,2,5,ж│,╡L,7000000,36466,,0.0,0,дг░╩▓гдзж@ж│дH╝╞м░в▒дH,RPOOMLNKLHMFFCQ88CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m░ёид61~90╕╣,99.37,жэ,,,1051201,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050817,191.96,4,2,5,ж│,╡L,6920000,36049,,0.0,0,,RPPOMLNKLHMFFCQ98CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m░ёид61~90╕╣,141.12,жэ,,,1051201,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050817,215.23,5,2,5,ж│,╡L,8500000,39493,,0.0,0,,RPQOMLNKLHMFFCQ09CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m░ёид61~90╕╣,121.11,жэ,,,1051201,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050817,216.26,5,2,5,ж│,╡L,8600000,39767,,0.0,0,дг░╩▓гдзж@ж│дH╝╞м░в▒дH,RPROMLNKLHMFFCQ56CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m░ёид61~90╕╣,121.7,жэ,,,1051201,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050817,235.72,4,2,5,ж│,╡L,8600000,36484,,0.0,0,,RPSOMLNKLHMFFCQ66CA
д╙лOел,дgжa,▓╗йMмq991~1020жa╕╣,67.14,жэ,,,1060201,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,700000,10426,,0.0,0,,RPQNMLLLKHMFFDQ88CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mе_дцз°е_╢╒дl331~360╕╣,101.0,жэ,,,1060101,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0700401,111.56,3,3,2,ж│,╡L,2000000,17928,,0.0,0,,RPQNMLLJLHMFFCQ68CA
е┴╢п╢m,дgжa,иqкLмq1141~1170жa╕╣,1436.37,,д@пы╣A╖~░╧,дB║╪л╪┐vе╬жa,1051201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,21800000,15177,,0.0,0,,RPQPMLNKLHMFFCQ56CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лOелжwдпи╜│╗┤фдlсY31~60╕╣,8.07,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060201,дgжa2л╪кл1иожь0,д@╝h,дн╝h,оMй╨(1й╨1╞U1╜├),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0940815,23.34,1,1,1,ж│,ж│,500000,21422,,0.0,0,,RPXNMLMLKHMFFDQ07CA
ддоH╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐дддоH╢m┤Iжмз°┐│д╞?1~30╕╣,110.96,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060101,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0931103,120.13,3,2,2,ж│,╡L,2600000,21643,,0.0,0,,RPVNMLMLKHMFFDQ86CA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢mй▒┐│╡є95л╤1~30╕╣,99.81,жэ,,,1060101,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,1050802,171.79,4,3,3,ж│,╡L,6500000,37837,,0.0,0,,RPRNMLQJLHMFFDQ76CA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢mй▒┐│╡є95л╤1~30╕╣,99.37,жэ,,,1060101,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,1050802,171.79,4,3,3,ж│,╡L,6380000,37138,,0.0,0,,RPSNMLQJLHMFFDQ86CA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢mй▒┐│╡є95л╤1~30╕╣,98.92,жэ,,,1060101,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,1050802,171.79,3,3,3,ж│,╡L,6380000,37138,,0.0,0,,RPTNMLQJLHMFFDQ96CA
▒Ўдs╢m,дgжa,┬∙╖╦мq151~180жa╕╣,7198.0,,дsйYжaлOи|░╧,╣Aкке╬жa,1051201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,4850000,674,,0.0,0,╗∙кўзtжaдWкл,RPSNMLMLKHMFFEQ66CA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢mдд╔▄з°дд╔▄1~30╕╣,546.42,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,1060101,дgжa1л╪кл1иожь0,е■,д@╝h,│zд╤нэ,жэоaе╬,игифеL╡n░Oи╞╢╡,0730810,163.8,0,0,0,╡L,╡L,4300000,26252,,0.0,0,,RPRNMLPKLHMFFDQ76CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лOелдддs╕Їд@мq228л╤19з╦1~30╕╣,10.63,жэ,,,1060201,дgжa1л╪кл1иожь0,д╗╝h,дE╝h,оMй╨(1й╨1╞U1╜├),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0821006,50.85,1,1,1,ж│,ж│,700000,13766,,0.0,0,,RPPNMLLKLHMFFDQ78CA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢mе┴е═з°е▀╖~╡є1л╤1~30╕╣,59.52,,╢mз°░╧,дA║╪л╪┐vе╬жa,1051201,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0771207,91.6,4,2,2,ж│,╡L,3800000,41485,,0.0,0,,RPSNMLQKLHMFFDQ96CA
ж╦▒T╢m,дgжa,ж╦▒Tмq541~570жa╕╣,6925.0,,дsйYжaлOи|░╧,╣Aкке╬жa,1060101,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,5700000,823,,0.0,0,,RPRNMLNLKHMFFEQ66CA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢mй▒┐│╡є95л╤1~30╕╣,98.48,жэ,,,1060101,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,1050802,172.86,3,3,3,ж│,╡L,6500000,37603,,0.0,0,,RPVNMLQJLHMFFDQ17CA
дЇдW╢m,дgжa,лn╣tмqлnйMдpмq1591~1620жa╕╣,3611.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1060101,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3820000,1058,,0.0,0,,RPQNMLOLKHMFFDQ56CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лOелжwдпи╜│╗┤фдlсY31~60╕╣,8.28,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060101,дgжa1л╪кл1иожь0,дG╝h,дн╝h,оMй╨(1й╨1╞U1╜├),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0930609,17.0,0,0,0,╡L,╡L,350000,20588,,0.0,0,,RPRNMLNLKHMFFDQ56CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m░ёид61~90╕╣,106.95,жэ,,,1051201,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050817,190.67,4,2,5,ж│,╡L,7700000,40384,,0.0,0,,RPTOMLNKLHMFFCQ76CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m░ёид61~90╕╣,106.28,жэ,,,1051201,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050817,208.07,4,2,5,ж│,╡L,8300000,39890,,0.0,0,,RPUOMLNKLHMFFCQ86CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m░ёид61~90╕╣,108.68,жэ,,,1051201,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050817,193.76,4,2,5,ж│,╡L,7680000,39637,,0.0,0,,RPVOMLNKLHMFFCQ96CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m░ёид61~90╕╣,99.37,жэ,,,1051201,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050817,174.34,4,2,5,ж│,╡L,6600000,37857,,0.0,0,,RPWOMLNKLHMFFCQ07CA
дjкL┬э,дgжa,╛Їдl└Yмq541~570жa╕╣,1970.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1060201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3841500,1950,,0.0,0,,RPSNMLOLKHMFFCQ66CA
дjкL┬э,дgжa,╛Їдl└Yмq451~480жa╕╣,2500.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1060201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3750000,1500,,0.0,0,,RPTNMLMLKHMFFCQ56CA
╖s┤ф╢m,дgжa,еjе┴мq╖sе┴дpмq31~60жa╕╣,1155.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1060101,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1800000,1558,,0.0,0,,RPSNMLNLKHMFFCQ56CA
дjкL┬э,дgжa,кFкLмq331~360жa╕╣,124.03,жэ,,,1060201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,900000,7256,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбCзt╝Wл╪й╬е╝╡n░Oл╪клбC,RPUNMLNLKHMFFCQ76CA
е┴╢п╢m,й╨жa(дgжa+л╪кл)+иожь,╣┼╕q┐де┴╢п╢mе_дцз°17╛F╖sе┐дн╡є61~90╕╣,47.23,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060101,дgжa1л╪кл1иожь1,дн╝h,дн╝h,╡╪╖H(10╝hзtеHдUж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0910725,100.04,3,2,2,ж│,ж│,2220000,22191,ифеL,0.0,0,,RPQNMLMLKHMFFCQ88CA
ж╡дlел,дgжa,╖s╝dмq571~600жa╕╣,2348.86,╣A,,,1060201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,17000000,7238,,0.0,0,зtе╝лOжsл╪кл,RPQNMLMLKHMFFBQ78CA
╕qж╦╢m,дgжa,╖sй▒мq1951~1980жa╕╣,12970.0,,д@пы╣A╖~░╧,╣Aкке╬жa,1060201,дgжa9л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,6095900,470,,0.0,0,,RPTNMLMLKHMFFBQ09CA
ддоH╢m,дgжa,е█ОЎмq361~390жa╕╣,51597.5,,дsйYжaлOи|░╧,кL╖~е╬жa,1060101,дgжa10л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,6000000,116,,0.0,0,,RPQNMLMLKHMFFDQ09DA
╖╦дf╢m,дgжa,╖╦дfмqлс┤фдpмq511~540жa╕╣,1702.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1060101,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1600000,940,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPVNMLOLKHMFFCQ17EA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mдх╢йз°дs╕}1~30╕╣,89.93,жэ,,,1060101,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одg│y,0821116,186.59,5,2,3,ж│,╡L,3500000,18758,,0.0,0,,RPRNMLMLKHMFFCQ56EA
дjкL┬э,дgжa,╖s┐│мq391~420жa╕╣,248.14,жэ,,,1060101,дgжa4л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3000000,12090,,0.0,0,,RPQNMLMLLHMFFCQ09DA
д╗╕}╢m,дgжa,ж╦дl╕}мqж╦╣┼дpмq181~210жa╕╣,2247.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1060201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1258320,560,,0.0,0,,RPPNMLNLKHMFFBQ78CA
ж╡дlел,дgжa,╖s╝dмq571~600жa╕╣,391.48,╣A,,,1060201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2300000,5875,,0.0,0,,RPQNMLNLKHMFFBQ88CA
дjкL┬э,й╨жa(дgжa+л╪кл),╣┼╕q┐ддjкL┬эдTйMи╜дд┐│╕ЇдGмq331~360╕╣,58.44,,╢mз°░╧,дA║╪л╪┐vе╬жa,1051101,дgжa1л╪кл1иожь0,е■,е|╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одg│y,0840703,184.93,4,2,3,ж│,╡L,4800000,25956,,0.0,0,,RPSNMLMLKHMFFCQ09CA
ж╡дlел,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╡дlелдTжw╕Ї77л╤53з╦1~30╕╣,82.0,жэ,,,1060101,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050427,163.02,4,3,4,ж│,╡L,7900000,48460,,0.0,0,,RPPNMLOJLHMFFBQ78CA
ж╡дlел,дgжa,зdж╦дl╕}мq╝wоaдpмq1~30жa╕╣,2161.0,,пSйw╣A╖~░╧,дB║╪л╪┐vе╬жa,1060101,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,15360000,7108,,0.0,0,,RPPNMLLKLHMFFBQ58CA
ем│U┬э,й╨жa(дgжa+л╪кл),╣┼╕q┐дем│U┬эд║е╨1~30╕╣,100.08,жэ,,,1060101,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэ░╙е╬,е[▒j┐j│y,0691114,108.58,3,2,2,ж│,╡L,450000,4144,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPQNMLNKLHMFFBQ88CA
дjкL┬э,й╨жa(дgжa+л╪кл),╣┼╕q┐ддjкL┬эенкLи╜е┴▒┌╕Ї189л╤1~30╕╣,86.02,жэ,,,1060101,дgжa1л╪кл1иожь0,е■,е|╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1041113,218.76,5,2,4,ж│,╡L,7850000,35884,,0.0,0,,RPQNMLNLKHMFFCQ98CA
е┴╢п╢m,дgжa,│╗╝dмq│╗╝dдpмq541~570жa╕╣,53.0,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,680000,12830,,0.0,0,,RPPNMLOJLHMFFCQ88CA
дЇдW╢m,дgжa,дTм╔оHмq61~90жa╕╣,500.0,,,,1060101,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,500000,1000,,0.0,0,,RPWNMLNLKHMFFDQ07CA
│└пє╢m,дgжa,дU╝цмqе·╝цдpмq751~780жa╕╣,4266.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1060201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3924720,920,,0.0,0,,RPWNMLMLKHMFFDQ96CA
ддоH╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐дддоH╢mйMм№з°е├╝╓╖sз°361~390╕╣,96.91,жэ,,,1060101,дgжa2л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0691227,96.47,3,2,2,ж│,╡L,3650000,37836,,0.0,0,,RPWNMLLJLHMFFDQ76CA
дЇдW╢m,дgжa,╖s╡fдl╝dмq1381~1410жa╕╣,376.52,,пSйw╣A╖~░╧,ец│qе╬жa,1060101,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1139498,3026,,0.0,0,иє─│╗∙┴╩,RPVOMLLJLHMFFDQ76CA
дЇдW╢m,дgжa,╖s╡fдl╝dмq1381~1410жa╕╣,235.11,,пSйw╣A╖~░╧,ец│qе╬жa,1060101,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,291536,1240,,0.0,0,иє─│╗∙┴╩,RPWOMLLJLHMFFDQ86CA
дЇдW╢m,дgжa,╖s╡fдl╝dмq1291~1320жa╕╣,25.13,,пSйw╣A╖~░╧,ец│qе╬жa,1060101,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,123388,4910,,0.0,0,иє─│╗∙┴╩,RPXOMLLJLHMFFDQ96CA
▒Ўдs╢m,дgжa,ж`└Yмq271~300жa╕╣,782.0,╣A,,,1051201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,60000,77,,0.0,0,┐╦д═пSоэ├ЎлY╢бдзецйЎбC,RPSNMLRJLHMFFEQ07CA
▒Ўдs╢m,дgжa,дjйWмq601~630жa╕╣,424.0,,н╖┤║░╧,╣Aкке╬жa,1060201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3750000,8844,,0.0,0,,RPRNMLLJLHMFFEQ98CA
дjкL┬э,й╨жa(дgжa+л╪кл),╣┼╕q┐ддjкL┬эй·йMи╜жш║a╕Ї61~90╕╣,83.08,жэ,,,1060201,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одgе[▒j┐j│y,0700729,176.32,4,2,2,ж│,╡L,3100000,17582,,0.0,0,дG┐╦╡е╢R╜ц,RPVNMLLJLHMFFCQ66DA
кFе█╢m,дgжa,о▀дl▒[мqжш▒[дpмq151~180жa╕╣,416.04,,д@пы╣A╖~░╧,╣Aкке╬жa,1060101,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,216338,520,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPPNMLMJLHMFFBQ68DA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢mе┴е═з°лH╕q╡є31~60╕╣,89.66,,╢mз°░╧,дA║╪л╪┐vе╬жa,1051201,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0690701,95.7,2,1,2,ж│,╡L,724392,7569,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPSNMLOLKHMFFDQ86DA
д╙лOел,дgжa,е_╖sмq661~690жa╕╣,112.34,жэ,,,1060201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1400000,12462,,0.0,0,,RPVNMLLJLHMFFDQ66CA
